dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,BURGERS,85.15,75.61,71.83,exact,,0,auto_high_confidence
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CKBBAD,Breaded Chicken Burger Bag (56 g.),840 g. x 9,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CKKBJ,JUMBO BREADED CHICKEN BURGER 100G BULK,1000 GM X 6 PKTS,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,2,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,STRIPS,66.83,83.58,85.5,conflict,,0,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,3,CKZFACKNP,Zing Chicken Fillets Spicy + Free Chicken Nuggets,1kg+750 g. x 3,FILLETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,4,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,8 X 750 GMS,NUGGETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,5,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,55.08,50.0,85.5,conflict,,0,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CBBAGPR,AK PRO BEEF BURGER 24,1.392 kg x 6 Pkts,BURGERS,56.86,55.1,85.5,conflict,,0,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,56.83,55.0,85.5,conflict,,0,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,56.74,54.76,85.5,conflict,,0,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,BURGERS,55.76,51.95,85.5,conflict,,0,auto_high_confidence
562,16264515,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
562,16264515,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CBBAGPR,AK PRO BEEF BURGER 24,1.392 kg x 6 Pkts,BURGERS,56.86,55.1,85.5,conflict,,0,auto_high_confidence
562,16264515,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,56.83,55.0,85.5,conflict,,0,auto_high_confidence
